"1","2","3","4","5","6","7","8","9"
"","Lat","Long","Timestamp","Ax","Ay","Az","A_avg","A_gforce"
"1","22.49472167","88.39130333","1.69E+12","-0.31005","-0.65805006","9.34395","2.79194998","0.955374406"
"2","22.49472167","88.39130333","1.69E+12","0.013950001","-0.93495005","9.82995","2.969649984","1.006556821"
"3","22.49472167","88.39130333","1.69E+12","0.013950001","-0.93495005","9.82995","2.969649984","1.006556821"
"4","22.49472167","88.39130333","1.69E+12","-0.81795","-0.67905","9.844951","2.782650333","1.009396753"
"5","22.49472167","88.39130333","1.69E+12","-0.81795","-0.67905","9.844951","2.782650333","1.009396753"
"6","22.49472167","88.39130333","1.69E+12","-0.29595003","-0.77505004","9.493051","2.80735031","0.971379643"
"7","22.49472167","88.39130333","1.69E+12","-0.29595003","-0.77505004","9.493051","2.80735031","0.971379643"
"8","22.49472167","88.39130333","1.69E+12","-0.29595003","-0.99300003","10.10295","2.93799998","1.035264603"
"9","22.49472167","88.39130333","1.69E+12","-0.29595003","-0.99300003","10.10295","2.93799998","1.035264603"
"10","22.49472167","88.39130333","1.69E+12","-0.58305","-0.43305","8.7619505","2.581950167","0.896228293"
"11","22.49472167","88.39130333","1.69E+12","-0.58305","-0.43305","8.7619505","2.581950167","0.896228293"
"12","22.49472167","88.39130333","1.69E+12","-0.064050004","-0.9979501","10.312051","3.083350299","1.056108545"
"13","22.49472167","88.39130333","1.69E+12","-0.064050004","-0.9979501","10.312051","3.083350299","1.056108545"
"14","22.49472167","88.39130333","1.69E+12","-0.44205","-0.36495003","9.081","2.75799999","0.927530536"
"15","22.49472167","88.39130333","1.69E+12","-0.44205","-0.36495003","9.081","2.75799999","0.927530536"
"16","22.49472167","88.39130333","1.69E+12","-0.14295001","-0.77505004","10.03905","3.040349983","1.026497303"
"17","22.49472167","88.39130333","1.69E+12","-0.49500003","-0.648","9.493051","2.783350323","0.971254691"
"18","22.49472167","88.39130333","1.69E+12","-0.49500003","-0.648","9.493051","2.783350323","0.971254691"
"19","22.49472167","88.39130333","1.69E+12","-0.31005","-0.41595003","9.339001","2.871000323","0.953455622"
"20","22.49472167","88.39130333","1.69E+12","-0.31005","-0.41595003","9.339001","2.871000323","0.953455622"
"21","22.49472167","88.39130333","1.69E+12","0","-0.88305","9.91905","3.012","1.015115136"
"22","22.49472167","88.39130333","1.69E+12","0","-0.88305","9.91905","3.012","1.015115136"
"23","22.49472167","88.39130333","1.69E+12","-0.58995","-0.19995001","9.415951","2.87535033","0.961929965"
"24","22.49472167","88.39130333","1.69E+12","-0.58995","-0.19995001","9.415951","2.87535033","0.961929965"
"25","22.49472167","88.39130333","1.69E+12","0.13605","-0.98805004","10.467001","3.20500032","1.071805518"
"26","22.49472167","88.39130333","1.69E+12","-0.44895002","-0.35805002","9.327001","2.84000032","0.95256491"
"27","22.49472167","88.39130333","1.69E+12","-0.44895002","-0.35805002","9.327001","2.84000032","0.95256491"
"28","22.49472167","88.39130333","1.69E+12","0.024","-1.01205","10.161","3.05765","1.040907709"
"29","22.49472167","88.39130333","1.69E+12","0.024","-1.01205","10.161","3.05765","1.040907709"
"30","22.49472167","88.39130333","1.69E+12","0.00495","-0.777","9.933001","3.053650333","1.015631595"
"31","22.49472167","88.39130333","1.69E+12","0.00495","-0.777","9.933001","3.053650333","1.015631595"
"32","22.49472167","88.39130333","1.69E+12","-0.079950005","-0.73695004","9.948001","3.043700318","1.016878771"
"33","22.49472167","88.39130333","1.69E+12","-0.079950005","-0.73695004","9.948001","3.043700318","1.016878771"
"34","22.49472167","88.39130333","1.69E+12","-0.09705","-0.90900004","10.76895","3.254299987","1.10170048"
"35","22.49472167","88.39130333","1.69E+12","-0.066","-0.47595003","9.294001","2.917350323","0.948666041"
"36","22.49472167","88.39130333","1.69E+12","-0.066","-0.47595003","9.294001","2.917350323","0.948666041"
"37","22.49472167","88.39130333","1.69E+12","0.12900001","-1.04295","10.37895","3.155000003","1.063406471"
"38","22.49472167","88.39130333","1.69E+12","0.12900001","-1.04295","10.37895","3.155000003","1.063406471"
"39","22.49472167","88.39130333","1.69E+12","0.010050001","-0.61395","9.675","3.0237","0.988222779"
"40","22.49472167","88.39130333","1.69E+12","0.010050001","-0.61395","9.675","3.0237","0.988222779"
"41","22.49472167","88.39130333","1.69E+12","-0.31500003","-0.66495","9.967051","2.995700323","1.018773982"
"42","22.49472167","88.39130333","1.69E+12","-0.31500003","-0.66495","9.967051","2.995700323","1.018773982"
"43","22.49472167","88.39130333","1.69E+12","-0.04695","-0.62895006","10.419001","3.247700313","1.064023734"
"44","22.49472167","88.39130333","1.69E+12","-0.54705","-0.37995002","9.15495","2.742649993","0.93569284"
"45","22.49472167","88.39130333","1.69E+12","-0.54705","-0.37995002","9.15495","2.742649993","0.93569284"
"46","22.49472167","88.39130333","1.69E+12","-0.15195","-0.68895006","9.76605","2.97504998","0.998114176"
"47","22.49472167","88.39130333","1.69E+12","-0.15195","-0.68895006","9.76605","2.97504998","0.998114176"
"48","22.49472167","88.39130333","1.69E+12","0.069000006","-0.37695003","9.4810505","3.057700159","0.96725707"
"49","22.49472167","88.39130333","1.69E+12","0.069000006","-0.37695003","9.4810505","3.057700159","0.96725707"
"50","22.49472167","88.39130333","1.69E+12","-0.49500003","-0.17595","9.493051","2.940700323","0.969171862"
"51","22.49472167","88.39130333","1.69E+12","-0.49500003","-0.17595","9.493051","2.940700323","0.969171862"
"52","22.49472167","88.39130333","1.69E+12","0.124050006","-0.6","10.01895","3.181000002","1.023207588"
"53","22.49472167","88.39130333","1.69E+12","-0.12795001","-0.064050004","9.232051","3.013350329","0.941198753"
"54","22.49472167","88.39130333","1.69E+12","-0.12795001","-0.064050004","9.232051","3.013350329","0.941198753"
"55","22.49472167","88.39130333","1.69E+12","-0.14295001","-0.54300004","9.40905","2.907699983","0.9608348"
"56","22.49472167","88.39130333","1.69E+12","-0.14295001","-0.54300004","9.40905","2.907699983","0.9608348"
"57","22.49472167","88.39130333","1.69E+12","0.44505003","-0.36495003","10.042951","3.374350333","1.02542605"
"58","22.49472167","88.39130333","1.69E+12","0.44505003","-0.36495003","10.042951","3.374350333","1.02542605"
"59","22.49472167","88.39130333","1.69E+12","-0.39405003","0.01695","9.55305","3.05864999","0.97463696"
"60","22.49472167","88.39130333","1.69E+12","-0.39405003","0.01695","9.55305","3.05864999","0.97463696"
"61","22.49472167","88.39130333","1.69E+12","0.28695002","-0.64995","10.383","3.340000007","1.060884749"
